,ACCOUNT_STATUS,SERVICE_PLAN,MODEL,SALES_CHANNEL,DIRECT_INDIRECT_CHANNEL,FEEDBACK,SITE_TYPE_DESC,AGE,INCOME,MARITAL_STATUS,PRESENCE_OF_CHILDREN,COMPUTER_OWNER,cluster 3,predicted_accountstatus,pred_prob_1
123,0,proffessional_plan,HN7000S,Web orders,Direct Channel,Bad,Spaceway,30,3,Married,At Least One Children,No ,1,1,0.975332265877592
124,0,basic_plan,HN9000,UNKNOWN-channel,Direct Channel,Bad,Broadband Remote,26,5,Married,No Children,No ,0,0,0.14649221572188215
125,0,proffessional_plan,UNK,Retail/others,Indirect Channel,Bad,Broadband Remote,61,5,Married,At Least One Children,No ,0,1,0.8469816964530802
126,0,basic_plan,HN7000S,Vars,Direct Channel,Bad,Broadband Remote,44,0,Married,No Children,Yes,0,0,0.09600506915130491
127,0,no-plan,HN9000,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,46,0,Married,No Children,No ,0,1,0.9644220063344575
128,0,Elite,HN9000,Vars,Direct Channel,Bad,Broadband Remote,25,6,Married,No Children,No ,0,0,0.2082164897352751
129,0,proffessional_plan,HN7000S,Call Center,Direct Channel,Bad,Broadband Remote,43,0,Married,No Children,No ,0,1,0.9008120139491604
130,0,proffessional_plan,DW4020,Retail/others,Indirect Channel,Bad,Spaceway,38,2,Single,No Children,No ,1,0,0.1717945732625179
131,0,Home,HN7000S,UNKNOWN-channel,Indirect Channel,Bad,Spaceway,40,5,Married,No Children,No ,1,1,0.8922526114630036
132,0,basic_plan,HN7000S,Call Center,Direct Channel,Good,Broadband Remote,28,0,Single,Not Identified,Yes,0,0,0.10272402876998019
133,0,proffessional_plan,HN9000,UNKNOWN-channel,Direct Channel,No-Feedback,Spaceway,64,5,Married,No Children,No ,1,1,0.879949618685672
134,0,basic_plan,UNK,Retail/others,Direct Channel,No-Feedback,Broadband Remote,52,0,Divorcee/Widow,No Children,No ,0,1,0.8034155439906469
135,0,Home,NONE,Web orders,Direct Channel,Bad,Spaceway,35,6,Married,At Least One Children,No ,1,0,0.0968015663944386
136,0,Home,NONE,Web orders,Direct Channel,Bad,Broadband Remote,65,0,Married,No Children,Yes,0,1,0.8669617385357361
137,0,Elite,DW6000,Retail/others,Indirect Channel,No-Feedback,Broadband Remote,42,0,Married,At Least One Children,No ,0,1,0.971191083369668
138,0,Elite,HN7000S,UNKNOWN-channel,Direct Channel,No-Feedback,Broadband Remote,26,13,Single,No Children,Not Identified,0,0,0.4717034417685606
139,0,power_plan,HN7000S,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,44,7,Married,At Least One Children,No ,0,0,0.31040222680598756
140,0,no-plan,DW4000,Call Center,Indirect Channel,Good,Broadband Remote,22,6,Married,At Least One Children,Not Identified,0,0,0.31742418199888833
141,0,proffessional_plan,UNK,UNKNOWN-channel,Indirect Channel,Good,Broadband Remote,61,5,Married,At Least One Children,Yes,0,1,0.9899082859889237
142,0,proffessional_plan,HN7000S,Retail/others,Direct Channel,No-Feedback,Broadband Remote,74,5,Married,No Children,No ,0,0,0.15470649440960788
143,0,Elite,HN7000S,UNKNOWN-channel,Direct Channel,Bad,Broadband Remote,46,6,Single,Not Identified,No ,0,1,0.9723598062859338
144,0,Elite,HN7000S,Web orders,Indirect Channel,Good,Broadband Remote,29,6,Single,No Children,No ,0,0,0.3321314437727266
145,0,proffessional_plan,HN7000S,UNKNOWN-channel,Direct Channel,Bad,Spaceway,26,5,Divorcee/Widow,At Least One Children,Not Identified,1,0,0.3880395731974808
146,0,proffessional_plan,HN9000,Retail/others,Indirect Channel,Bad,Broadband Remote,48,6,Married,No Children,No ,0,0,0.07993742110322649
147,0,proffessional_plan,HN7000S,UNKNOWN-channel,Indirect Channel,No-Feedback,Broadband Remote,39,7,Married,No Children,Yes,0,1,0.8828869036533347
148,0,power_plan,HN7000S,Retail/others,Indirect Channel,Bad,Broadband Remote,43,0,Single,No Children,No ,0,0,0.1481467008754284
149,0,power_plan,HN7000S,Retail/others,Indirect Channel,Good,Broadband Remote,54,5,Single,Not Identified,No ,0,0,0.03191796097276893
150,0,proffessional_plan,UNK,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,48,7,Married,No Children,Yes,0,0,0.18527351268780773
151,0,basic_plan,HN7000S,Retail/others,Direct Channel,Good,Spaceway,34,5,Married,No Children,Yes,1,0,0.1584130338751629
152,0,proffessional_plan,HN7000S,UNKNOWN-channel,Direct Channel,Bad,Broadband Remote,23,0,Married,At Least One Children,No ,0,0,0.24077593342650258
153,0,power_plan,HN7000S,UNKNOWN-channel,Direct Channel,Bad,Broadband Remote,45,0,Single,Not Identified,No ,0,0,0.2974865431182699
154,0,proffessional_plan,DW4000,Retail/others,Direct Channel,Bad,Broadband Remote,41,7,Single,No Children,Not Identified,0,0,0.04050616785093799
155,0,proffessional_plan,HN9000,UNKNOWN-channel,Direct Channel,Bad,Broadband Remote,25,0,Single,Not Identified,No ,0,0,0.09435106001636973
156,0,basic_plan,HN9000,UNKNOWN-channel,Direct Channel,No-Feedback,Broadband Remote,57,5,Married,No Children,Yes,0,1,0.5306827070781756
157,0,Elite,HN7000S,UNKNOWN-channel,Direct Channel,No-Feedback,Spaceway,47,0,Single,No Children,Yes,1,1,0.5997319317796164
158,0,basic_plan,UNK,Web orders,Indirect Channel,No-Feedback,Broadband Remote,26,7,Married,At Least One Children,Yes,0,1,0.804290629416394
159,0,power_plan,NONE,UNKNOWN-channel,Direct Channel,Bad,Broadband Remote,38,6,Single,No Children,Yes,0,0,0.40493118435967873
160,0,proffessional_plan,HN7000S,Retail/others,Direct Channel,No-Feedback,Broadband Remote,40,0,Single,No Children,Yes,0,1,0.9640985516938704
161,0,Home,DW4020,Retail/others,Direct Channel,Bad,Broadband Remote,28,13,Married,At Least One Children,No ,0,1,0.9596024318211563
162,0,proffessional_plan,NONE,Web orders,Direct Channel,Good,Broadband Remote,30,9,Married,At Least One Children,No ,0,1,0.9602461806858311
163,0,proffessional_plan,HN9000,Call Center,Direct Channel,Good,Spaceway,44,10,Divorcee/Widow,No Children,No ,1,1,0.8074208083001837
164,0,proffessional_plan,UNK,UNKNOWN-channel,Direct Channel,No-Feedback,Spaceway,62,7,Single,No Children,Not Identified,1,0,0.06120411355359625
165,0,proffessional_plan,UNK,Call Center,Direct Channel,No-Feedback,Spaceway,32,12,Married,At Least One Children,No ,1,1,0.7694265690492575
166,0,Elite,HN9000,Retail/others,Direct Channel,Bad,Broadband Remote,43,0,Married,At Least One Children,No ,0,1,0.9017601487019025
167,0,proffessional_plan,HN7000S,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,29,7,Single,Not Identified,No ,0,0,0.44125884552616484
168,0,proffessional_plan,HN7000S,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,30,7,Divorcee/Widow,At Least One Children,Yes,0,1,0.8371454134437248
169,0,power_plan,DW6000,Web orders,Direct Channel,Good,Broadband Remote,0,0,Single,Not Identified,Yes,0,1,0.9610896458326833
170,0,basic_plan,DW4000,Retail/others,Direct Channel,Good,Spaceway,29,4,Single,No Children,No ,1,1,0.9771867787532932
171,0,no-plan,NONE,Vars,Indirect Channel,Good,Broadband Remote,29,0,Married,No Children,No ,0,0,0.30267312779295125
172,0,proffessional_plan,HN7000S,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,50,12,Single,Not Identified,Yes,0,1,0.7676905685150077
173,0,Home,HN7000S,Web orders,Direct Channel,No-Feedback,Spaceway,27,7,Married,At Least One Children,No ,1,0,0.1123475979926537
174,0,basic_plan,DW4000,Retail/others,Direct Channel,Good,Broadband Remote,39,6,Married,No Children,Yes,0,0,0.06637096512828258
175,0,proffessional_plan,UNK,Vars,Direct Channel,Bad,Broadband Remote,64,4,Single,No Children,No ,0,1,0.6636936859841899
176,0,basic_plan,HN7000S,UNKNOWN-channel,Indirect Channel,Bad,Broadband Remote,46,6,Married,No Children,Yes,0,0,0.446126720775326
177,0,proffessional_plan,DW6000,Call Center,Direct Channel,Bad,Broadband Remote,55,6,Married,No Children,Not Identified,0,1,0.8265188614723714
178,0,basic_plan,UNK,Retail/others,Indirect Channel,Good,Spaceway,47,6,Married,At Least One Children,Not Identified,1,0,0.19162597972616063
179,0,Home,HN7000S,Vars,Direct Channel,Bad,Broadband Remote,31,4,Single,No Children,Yes,0,1,0.742152849331328
180,0,no-plan,DW4020,Retail/others,Direct Channel,Good,Broadband Remote,0,0,Single,Not Identified,Yes,0,0,0.1646207561820145
181,0,no-plan,NONE,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,30,4,Single,No Children,No ,0,0,0.19005006300838098
182,0,power_plan,HN7000S,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,33,3,Married,No Children,No ,0,1,0.8938652147031041
183,0,basic_plan,DW4000,UNKNOWN-channel,Direct Channel,No-Feedback,Broadband Remote,22,6,Single,Not Identified,No ,0,1,0.8835669105218283
184,0,basic_plan,HN7000S,Web orders,Indirect Channel,Bad,Spaceway,22,2,Married,At Least One Children,Yes,1,1,0.849249887610994
185,0,proffessional_plan,HN7000S,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,50,5,Single,No Children,No ,0,0,0.05999843270306714
186,0,Elite,HN9000,Vars,Direct Channel,Good,Broadband Remote,57,3,Single,No Children,No ,0,1,0.8271805615969585
187,0,basic_plan,HN7000S,Retail/others,Direct Channel,Bad,Spaceway,75,0,Divorcee/Widow,No Children,No ,1,1,0.9906298361431494
188,0,Elite,HN9000,Retail/others,Indirect Channel,Bad,Spaceway,44,9,Single,No Children,No ,1,1,0.9672052558461102
189,0,power_plan,DW6000,UNKNOWN-channel,Direct Channel,Bad,Broadband Remote,22,8,Single,No Children,No ,0,0,0.4545871339791329
190,0,no-plan,UNK,UNKNOWN-channel,Direct Channel,Good,Broadband Remote,57,5,Divorcee/Widow,No Children,No ,0,0,0.15357007487371124
191,0,Home,UNK,Retail/others,Direct Channel,No-Feedback,Spaceway,65,9,Divorcee/Widow,No Children,No ,1,0,0.21054329379110626
192,0,proffessional_plan,DW4020,Web orders,Direct Channel,No-Feedback,Broadband Remote,25,7,Married,At Least One Children,Yes,0,0,0.2889521485092091
193,0,power_plan,HN7000S,Vars,Direct Channel,No-Feedback,Broadband Remote,0,0,Single,Not Identified,Yes,0,0,0.06659069048502395
194,0,Elite,HN9000,Web orders,Direct Channel,Good,Spaceway,58,7,Married,At Least One Children,Not Identified,1,1,0.8614937894376202
